series_type,series_id,fold,train_start,train_end,validation_start,validation_end,mae,rmse,mape,interval_coverage_pct
category,Food & Beverage,1,2017-01-01,2017-12-24,2017-12-31,2018-01-21,221.2288708496094,281.9517733034355,24.907260979524757,100.0
category,Food & Beverage,2,2017-01-01,2018-01-21,2018-01-28,2018-02-18,327.53336730957034,352.5599811211672,24.329826214009515,100.0
category,Food & Beverage,3,2017-01-01,2018-02-18,2018-02-25,2018-03-18,612.7813604736328,682.8159524524201,37.8772040279669,75.0
category,Food & Beverage,4,2017-01-01,2018-03-18,2018-03-25,2018-04-15,670.5009423828126,804.7167238347834,46.12231495281974,50.0
category,Food & Beverage,5,2017-01-01,2018-04-15,2018-04-22,2018-05-13,1067.5033129882813,1435.42268915726,34.86469331501315,50.0
category,Food & Beverage,6,2017-01-01,2018-05-13,2018-05-20,2018-06-10,572.4356787109375,790.8788715185882,246.81253703491058,50.0
category,Food & Beverage,7,2017-01-01,2018-06-10,2018-06-17,2018-07-08,774.3494879150392,851.7496904388119,96.54417653983741,0.0
category,Food & Beverage,8,2017-01-01,2018-07-08,2018-07-15,2018-08-05,938.2231164550781,1113.0360636507908,39.683790267344996,75.0
category,"Gifts, Arts & Seasonal",1,2017-01-01,2017-12-24,2017-12-31,2018-01-21,1284.6509228515627,1463.2814035103343,13.852687894331122,100.0
category,"Gifts, Arts & Seasonal",2,2017-01-01,2018-01-21,2018-01-28,2018-02-18,3390.179189453125,3551.8710443684026,37.060997499382175,50.0
category,"Gifts, Arts & Seasonal",3,2017-01-01,2018-02-18,2018-02-25,2018-03-18,1589.6424609374997,1962.9676854640352,15.021592483920736,100.0
category,"Gifts, Arts & Seasonal",4,2017-01-01,2018-03-18,2018-03-25,2018-04-15,1300.65783203125,1799.8595809353733,11.616070019012277,100.0
category,"Gifts, Arts & Seasonal",5,2017-01-01,2018-04-15,2018-04-22,2018-05-13,2002.8131054687497,2195.036935765515,17.47202716132839,100.0
category,"Gifts, Arts & Seasonal",6,2017-01-01,2018-05-13,2018-05-20,2018-06-10,5680.444833984375,6265.0579484169975,139.20085160947275,25.0
category,"Gifts, Arts & Seasonal",7,2017-01-01,2018-06-10,2018-06-17,2018-07-08,2421.504709472656,2800.800043604297,38.173433733438245,75.0
category,"Gifts, Arts & Seasonal",8,2017-01-01,2018-07-08,2018-07-15,2018-08-05,1383.9522900390627,1640.9235358827502,16.95662359201318,100.0
category,Home & Furniture,1,2017-01-01,2017-12-24,2017-12-31,2018-01-21,21545.740703124997,22940.038897431186,50.863522954423324,25.0
category,Home & Furniture,2,2017-01-01,2018-01-21,2018-01-28,2018-02-18,5281.8955859375,6635.251686209805,12.620652019132155,100.0
category,Home & Furniture,3,2017-01-01,2018-02-18,2018-02-25,2018-03-18,6945.989687500001,7587.0971634092075,13.965363812786208,100.0
category,Home & Furniture,4,2017-01-01,2018-03-18,2018-03-25,2018-04-15,4201.869921874999,4457.485714313082,9.06795368460607,100.0
category,Home & Furniture,5,2017-01-01,2018-04-15,2018-04-22,2018-05-13,10280.630468750001,11033.667521900583,18.526604764583666,75.0
category,Home & Furniture,6,2017-01-01,2018-05-13,2018-05-20,2018-06-10,12364.752070312501,13852.788629730132,27.11619472147899,50.0
category,Home & Furniture,7,2017-01-01,2018-06-10,2018-06-17,2018-07-08,8842.38140625,12840.03206889565,20.47117098546668,75.0
category,Home & Furniture,8,2017-01-01,2018-07-08,2018-07-15,2018-08-05,13294.500546874999,14702.55169003907,28.251857110859035,50.0
category,Home Improvement & Garden,1,2017-01-01,2017-12-24,2017-12-31,2018-01-21,4008.57328125,4725.482748952047,32.27919847812436,75.0
category,Home Improvement & Garden,2,2017-01-01,2018-01-21,2018-01-28,2018-02-18,4074.961347656251,4508.00522106567,24.92101976042974,75.0
category,Home Improvement & Garden,3,2017-01-01,2018-02-18,2018-02-25,2018-03-18,2774.6114941406254,4554.2641047329935,15.240535479681908,75.0
category,Home Improvement & Garden,4,2017-01-01,2018-03-18,2018-03-25,2018-04-15,2614.7902734375007,2856.09993669287,16.42689889048215,100.0
category,Home Improvement & Garden,5,2017-01-01,2018-04-15,2018-04-22,2018-05-13,7661.802285156249,9196.847039609918,30.31626909891693,50.0
category,Home Improvement & Garden,6,2017-01-01,2018-05-13,2018-05-20,2018-06-10,4559.832666015625,4838.185672339088,26.713165559919222,50.0
category,Home Improvement & Garden,7,2017-01-01,2018-06-10,2018-06-17,2018-07-08,2792.5745703124994,3669.875927151018,16.091505036703563,100.0
category,Home Improvement & Garden,8,2017-01-01,2018-07-08,2018-07-15,2018-08-05,4126.947109374999,5440.654774282067,34.04933873858915,75.0
category,Kids & Baby,1,2017-01-01,2017-12-24,2017-12-31,2018-01-21,7897.788676757813,8430.730406632934,56.327514021415496,25.0
category,Kids & Baby,2,2017-01-01,2018-01-21,2018-01-28,2018-02-18,4197.288935546874,4777.922212175825,55.39627327815595,75.0
category,Kids & Baby,3,2017-01-01,2018-02-18,2018-02-25,2018-03-18,9044.191044921874,10719.924584545186,52.07874770213073,50.0
category,Kids & Baby,4,2017-01-01,2018-03-18,2018-03-25,2018-04-15,1599.1690136718744,1812.3823808624534,9.05744908303469,100.0
category,Kids & Baby,5,2017-01-01,2018-04-15,2018-04-22,2018-05-13,9860.95263671875,10261.404027137207,46.22267087202694,25.0
category,Kids & Baby,6,2017-01-01,2018-05-13,2018-05-20,2018-06-10,4657.633046875,6442.613320798061,47.65150189325387,75.0
category,Kids & Baby,7,2017-01-01,2018-06-10,2018-06-17,2018-07-08,4716.319921875,4858.019142145544,42.382480388178514,100.0
category,Kids & Baby,8,2017-01-01,2018-07-08,2018-07-15,2018-08-05,3714.6753320312496,3947.7607439419585,31.915462259740934,100.0
category,Kitchen & Appliances,1,2017-01-01,2017-12-24,2017-12-31,2018-01-21,3816.126057128906,4713.005257559608,61.883481509762085,50.0
category,Kitchen & Appliances,2,2017-01-01,2018-01-21,2018-01-28,2018-02-18,4648.008059082032,4987.448050246396,50.831095199005375,25.0
category,Kitchen & Appliances,3,2017-01-01,2018-02-18,2018-02-25,2018-03-18,3567.5746484375,5254.293198707424,28.488503022489052,75.0
category,Kitchen & Appliances,4,2017-01-01,2018-03-18,2018-03-25,2018-04-15,9764.521665039063,11084.538086750345,55.118745934135916,25.0
category,Kitchen & Appliances,5,2017-01-01,2018-04-15,2018-04-22,2018-05-13,2382.2695410156252,2637.8010157263634,17.223986886078784,50.0
category,Kitchen & Appliances,6,2017-01-01,2018-05-13,2018-05-20,2018-06-10,5704.6721484375,5987.061306258969,63.3864859648084,0.0
category,Kitchen & Appliances,7,2017-01-01,2018-06-10,2018-06-17,2018-07-08,1853.803442382813,2231.745914802491,17.48802713526448,100.0
category,Kitchen & Appliances,8,2017-01-01,2018-07-08,2018-07-15,2018-08-05,2683.30783203125,2917.1530759099114,24.03285236723817,100.0
category,"Office, Business & Services",1,2017-01-01,2017-12-24,2017-12-31,2018-01-21,8438.435966796875,8823.436171301604,47.126470255432906,0.0
category,"Office, Business & Services",2,2017-01-01,2018-01-21,2018-01-28,2018-02-18,5587.82431640625,6042.862515627816,50.10313097901587,0.0
category,"Office, Business & Services",3,2017-01-01,2018-02-18,2018-02-25,2018-03-18,5404.857617187499,6607.027189163442,30.331367373385266,50.0
category,"Office, Business & Services",4,2017-01-01,2018-03-18,2018-03-25,2018-04-15,1220.0763378906254,1485.6657229317223,8.87497401903066,100.0
category,"Office, Business & Services",5,2017-01-01,2018-04-15,2018-04-22,2018-05-13,2643.2046484375,3034.313105627831,21.27782657738658,75.0
category,"Office, Business & Services",6,2017-01-01,2018-05-13,2018-05-20,2018-06-10,2373.2290039062505,2840.9188228043154,22.677542322842655,75.0
category,"Office, Business & Services",7,2017-01-01,2018-06-10,2018-06-17,2018-07-08,2662.5995312500004,2950.286761309265,27.068621963979044,75.0
category,"Office, Business & Services",8,2017-01-01,2018-07-08,2018-07-15,2018-08-05,4612.7111328125,4958.070945678152,40.82255126824303,75.0
category,Pet Supplies,1,2017-01-01,2017-12-24,2017-12-31,2018-01-21,1132.0231359863283,1474.5707580122448,32.27702386875281,75.0
category,Pet Supplies,2,2017-01-01,2018-01-21,2018-01-28,2018-02-18,607.819259033203,622.7421043621104,25.100546621588187,100.0
category,Pet Supplies,3,2017-01-01,2018-02-18,2018-02-25,2018-03-18,1053.60408203125,1222.2747836874382,40.177687439921804,100.0
category,Pet Supplies,4,2017-01-01,2018-03-18,2018-03-25,2018-04-15,2942.9288964843745,3028.5238849440084,57.86025318534609,25.0
category,Pet Supplies,5,2017-01-01,2018-04-15,2018-04-22,2018-05-13,910.1207568359374,1056.4202331100155,22.516354135708898,75.0
category,Pet Supplies,6,2017-01-01,2018-05-13,2018-05-20,2018-06-10,972.3609375000001,1043.475271758107,24.484251701344913,100.0
category,Pet Supplies,7,2017-01-01,2018-06-10,2018-06-17,2018-07-08,617.5478833007813,969.8305266900592,13.958705027934107,100.0
category,Pet Supplies,8,2017-01-01,2018-07-08,2018-07-15,2018-08-05,2687.525842285156,2925.4837466790564,42.835187309892575,25.0
category,Phones & Telecom,1,2017-01-01,2017-12-24,2017-12-31,2018-01-21,2762.8049658203126,2957.254888584068,59.596995985640646,75.0
category,Phones & Telecom,2,2017-01-01,2018-01-21,2018-01-28,2018-02-18,2448.246411132812,2976.2697723493693,35.63849740755174,75.0
category,Phones & Telecom,3,2017-01-01,2018-02-18,2018-02-25,2018-03-18,1840.2066796875001,2497.435249091126,38.78423217083991,75.0
category,Phones & Telecom,4,2017-01-01,2018-03-18,2018-03-25,2018-04-15,2097.6083886718743,3424.323891704,22.539410854085375,75.0
category,Phones & Telecom,5,2017-01-01,2018-04-15,2018-04-22,2018-05-13,1066.5024511718748,1225.1775973927229,16.255858571198488,100.0
category,Phones & Telecom,6,2017-01-01,2018-05-13,2018-05-20,2018-06-10,2239.958037109375,2551.6701993446704,47.04334319768822,75.0
category,Phones & Telecom,7,2017-01-01,2018-06-10,2018-06-17,2018-07-08,953.0750244140626,1065.0789422881717,24.193515993008603,100.0
category,Phones & Telecom,8,2017-01-01,2018-07-08,2018-07-15,2018-08-05,5743.127211914063,7035.1609067296895,41.502761141838505,25.0
category,Sports & Leisure,1,2017-01-01,2017-12-24,2017-12-31,2018-01-21,13309.707895507814,15026.667560897398,70.51109926263092,0.0
category,Sports & Leisure,2,2017-01-01,2018-01-21,2018-01-28,2018-02-18,3481.4514843750003,4934.831769266665,14.745738700362265,75.0
category,Sports & Leisure,3,2017-01-01,2018-02-18,2018-02-25,2018-03-18,4418.491660156251,5272.333345984953,17.405454530766814,75.0
category,Sports & Leisure,4,2017-01-01,2018-03-18,2018-03-25,2018-04-15,3623.9557031250006,3843.353800842518,18.684317492895065,25.0
category,Sports & Leisure,5,2017-01-01,2018-04-15,2018-04-22,2018-05-13,2709.1737109375003,3454.467345800816,16.357120989052994,75.0
category,Sports & Leisure,6,2017-01-01,2018-05-13,2018-05-20,2018-06-10,6522.4224609375015,7193.981253943069,70.67402925832153,25.0
category,Sports & Leisure,7,2017-01-01,2018-06-10,2018-06-17,2018-07-08,1154.639501953125,1443.8294994637467,8.02526287617437,100.0
category,Sports & Leisure,8,2017-01-01,2018-07-08,2018-07-15,2018-08-05,5110.90396484375,5662.440536607331,32.793853887518274,75.0
region,Central-West,1,2017-01-01,2017-12-24,2017-12-31,2018-01-21,5749.284189453125,6656.525588891757,42.14078833832819,25.0
region,Central-West,2,2017-01-01,2018-01-21,2018-01-28,2018-02-18,2622.3819921875,3483.4512761628575,15.389094973123543,75.0
region,Central-West,3,2017-01-01,2018-02-18,2018-02-25,2018-03-18,960.0397753906245,1157.1437931488722,6.191317856628015,100.0
region,Central-West,4,2017-01-01,2018-03-18,2018-03-25,2018-04-15,1440.3610839843745,1857.2450895716033,10.390484541116745,100.0
region,Central-West,5,2017-01-01,2018-04-15,2018-04-22,2018-05-13,5606.952490234376,7373.341056784514,23.08836485734198,50.0
region,Central-West,6,2017-01-01,2018-05-13,2018-05-20,2018-06-10,8464.45384765625,9551.093832923312,81.21886934136397,0.0
region,Central-West,7,2017-01-01,2018-06-10,2018-06-17,2018-07-08,4800.19740234375,6561.86497495545,42.494678738647664,50.0
region,Central-West,8,2017-01-01,2018-07-08,2018-07-15,2018-08-05,2560.822998046875,2995.6019341608694,13.82183255440577,100.0
region,North,1,2017-01-01,2017-12-24,2017-12-31,2018-01-21,2531.182685546875,2700.2320873477684,43.459549165389255,75.0
region,North,2,2017-01-01,2018-01-21,2018-01-28,2018-02-18,633.197802734375,883.6931692183936,11.721604950979376,100.0
region,North,3,2017-01-01,2018-02-18,2018-02-25,2018-03-18,1956.8319726562497,1992.9733576560614,28.833085418534278,100.0
region,North,4,2017-01-01,2018-03-18,2018-03-25,2018-04-15,908.5267919921873,1540.5048737029585,11.066583840505073,100.0
region,North,5,2017-01-01,2018-04-15,2018-04-22,2018-05-13,1510.4603564453125,1607.3210621149547,26.994206963685798,75.0
region,North,6,2017-01-01,2018-05-13,2018-05-20,2018-06-10,2165.5232812500003,2676.46201395557,188.40141192220185,75.0
region,North,7,2017-01-01,2018-06-10,2018-06-17,2018-07-08,1571.5133837890628,1714.6708579554515,41.73706251272456,75.0
region,North,8,2017-01-01,2018-07-08,2018-07-15,2018-08-05,4679.994807128906,5665.928965203599,47.39477285403307,25.0
region,Northeast,1,2017-01-01,2017-12-24,2017-12-31,2018-01-21,6886.0550390625,8174.852075830827,30.57511357947454,50.0
region,Northeast,2,2017-01-01,2018-01-21,2018-01-28,2018-02-18,4219.65814453125,5409.203114079151,15.441726176011406,100.0
region,Northeast,3,2017-01-01,2018-02-18,2018-02-25,2018-03-18,8975.837011718751,9451.059150384077,27.213550526169637,50.0
region,Northeast,4,2017-01-01,2018-03-18,2018-03-25,2018-04-15,2934.2022460937505,3711.8849547854497,9.298589521485164,100.0
region,Northeast,5,2017-01-01,2018-04-15,2018-04-22,2018-05-13,3447.39314453125,4105.011289746305,10.403455535039214,100.0
region,Northeast,6,2017-01-01,2018-05-13,2018-05-20,2018-06-10,7086.537929687501,9105.982278487121,39.990455168280846,50.0
region,Northeast,7,2017-01-01,2018-06-10,2018-06-17,2018-07-08,4738.711601562499,5944.891036739578,15.338958714804871,75.0
region,Northeast,8,2017-01-01,2018-07-08,2018-07-15,2018-08-05,9705.78376953125,10262.277674607663,25.045167154367498,50.0
region,South,1,2017-01-01,2017-12-24,2017-12-31,2018-01-21,17768.968349609375,18318.05065480243,65.66986717800572,25.0
region,South,2,2017-01-01,2018-01-21,2018-01-28,2018-02-18,4623.832226562501,6387.683967933563,14.337112641108025,100.0
region,South,3,2017-01-01,2018-02-18,2018-02-25,2018-03-18,7689.757949218751,8894.3464377996,18.32034072210699,75.0
region,South,4,2017-01-01,2018-03-18,2018-03-25,2018-04-15,9601.909453125,11158.433642976725,24.68830866329574,50.0
region,South,5,2017-01-01,2018-04-15,2018-04-22,2018-05-13,9299.8770703125,10845.80729629101,18.225296178278455,75.0
region,South,6,2017-01-01,2018-05-13,2018-05-20,2018-06-10,17959.3491015625,20549.81038516147,79.35589606431095,50.0
region,South,7,2017-01-01,2018-06-10,2018-06-17,2018-07-08,9292.769101562502,12038.172538421471,33.27826785458055,75.0
region,South,8,2017-01-01,2018-07-08,2018-07-15,2018-08-05,9307.770097656248,10834.689627904636,25.233220572667015,75.0
region,Southeast,1,2017-01-01,2017-12-24,2017-12-31,2018-01-21,85673.51847656252,91963.75287492078,58.19341881123381,25.0
region,Southeast,2,2017-01-01,2018-01-21,2018-01-28,2018-02-18,22642.862500000003,28731.696013563505,14.417770244819469,100.0
region,Southeast,3,2017-01-01,2018-02-18,2018-02-25,2018-03-18,23465.8809375,25268.0559131255,13.283231171980894,100.0
region,Southeast,4,2017-01-01,2018-03-18,2018-03-25,2018-04-15,13485.455937500003,14890.298984320934,7.722675959154203,100.0
region,Southeast,5,2017-01-01,2018-04-15,2018-04-22,2018-05-13,25947.829062500008,31717.32310727416,13.213613128751192,75.0
region,Southeast,6,2017-01-01,2018-05-13,2018-05-20,2018-06-10,45288.95234375,52063.862629546056,34.103044617161906,50.0
region,Southeast,7,2017-01-01,2018-06-10,2018-06-17,2018-07-08,29059.768750000003,36351.73084460091,22.256508954372357,75.0
region,Southeast,8,2017-01-01,2018-07-08,2018-07-15,2018-08-05,52436.504375,56784.812315346826,30.72272960158793,25.0
